source,target,value
0,130,1
0,223,3
0,410,2
0,23,1
0,428,2
1,242,1
1,54,1
2,333,2
2,54,3
2,158,2
2,464,2
3,464,3
3,419,1
3,54,1
3,161,4
3,333,3
3,355,1
3,424,1
4,311,4
4,209,2
4,114,1
4,324,5
4,54,1
4,105,1
4,65,1
5,15,2
5,290,3
6,386,1
6,333,2
6,197,2
6,61,3
6,424,1
6,88,2
6,243,1
6,209,2
6,99,1
6,117,2
6,110,2
6,311,3
6,48,7
6,334,4
6,11,2
7,228,3
7,102,5
7,26,3
7,104,1
7,395,1
7,277,1
7,12,1
7,206,2
8,277,2
8,240,3
8,464,1
8,54,1
8,337,1
8,209,2
8,324,2
8,10,2
8,160,2
8,310,2
8,495,2
8,79,1
8,186,1
8,12,1
8,268,2
8,215,3
8,170,2
8,333,1
8,220,1
8,11,1
8,104,1
8,434,2
8,228,1
8,382,1
8,183,2
8,74,1
9,402,2
9,101,1
9,464,1
9,54,4
10,11,1
10,26,1
10,464,1
10,202,1
10,161,2
10,209,1
11,257,2
11,427,5
11,324,2
11,370,1
11,464,5
11,282,1
11,123,6
12,415,3
12,370,1
12,427,4
12,228,4
12,39,1
12,183,2
12,342,2
12,348,2
12,88,2
12,104,2
12,421,1
13,388,1
13,111,7
13,449,2
13,209,1
13,464,1
13,79,3
14,484,1
14,149,1
14,285,1
15,466,1
15,23,2
16,149,1
16,180,4
16,171,5
16,294,4
16,104,1
16,277,1
16,464,6
16,209,1
16,97,1
17,210,1
17,354,2
17,468,1
17,23,1
17,84,2
17,348,3
17,464,1
17,444,2
18,464,3
18,242,1
18,7,2
18,448,1
18,341,1
18,406,1
18,130,4
18,271,1
18,333,2
18,175,1
18,375,1
18,409,1
18,104,1
18,417,2
18,425,4
18,250,1
18,272,1
18,54,4
18,299,6
18,23,1
18,85,1
18,424,1
18,494,1
18,180,1
18,328,8
18,103,1
18,88,1
18,207,2
18,63,1
18,348,1
18,285,6
18,487,2
18,355,4
18,48,1
18,122,1
18,468,5
18,11,1
18,116,2
18,227,1
18,37,1
18,171,2
18,226,2
18,209,4
18,423,1
18,228,2
18,456,1
18,72,2
18,138,1
18,320,1
18,140,1
18,444,1
18,262,2
18,155,1
19,209,7
19,464,1
20,93,1
20,173,3
20,440,1
21,477,1
21,464,2
21,281,2
21,20,1
21,79,1
21,448,2
22,18,1
22,464,1
22,333,1
22,277,2
22,370,1
22,480,1
22,83,2
22,61,1
22,161,1
22,209,1
22,427,13
22,99,1
22,244,1
22,138,1
22,311,1
22,424,2
22,152,5
22,398,2
22,440,1
22,54,1
22,245,1
22,270,1
23,18,3
23,136,2
23,182,1
23,437,2
23,220,3
23,440,1
23,348,2
23,466,7
23,84,5
23,125,2
23,452,1
23,88,2
23,209,1
24,396,1
24,186,1
24,464,3
24,57,2
24,40,7
24,429,3
24,209,2
24,234,2
24,333,1
24,350,1
24,11,1
24,327,1
25,464,1
25,35,6
25,54,1
25,283,1
25,145,1
25,277,1
25,7,1
25,478,1
25,363,5
26,80,1
26,209,1
26,360,7
26,464,1
26,478,1
26,259,1
26,294,2
27,464,2
27,427,2
27,130,1
27,234,5
27,31,3
27,348,1
27,54,4
28,298,1
28,243,4
28,464,1
28,11,1
29,334,3
29,171,1
29,288,2
29,333,2
29,427,1
29,50,1
29,96,1
29,209,1
29,464,1
29,54,5
29,90,3
29,305,1
29,84,1
29,22,1
29,370,1
29,406,2
29,425,3
30,464,1
30,348,4
30,185,3
30,155,3
30,453,2
30,54,1
31,149,1
31,209,2
31,11,3
31,123,2
31,88,2
31,61,1
31,18,2
31,104,2
31,54,1
31,23,2
31,95,2
31,333,2
31,171,1
31,464,1
31,271,7
31,394,1
31,357,1
31,151,4
31,317,1
31,197,1
31,342,1
31,425,5
31,196,1
31,74,2
31,101,2
31,334,1
31,277,1
31,7,1
31,424,7
31,447,3
31,167,3
31,468,1
31,374,1
31,41,2
31,475,2
31,436,2
31,127,3
31,134,3
31,180,1
31,458,3
31,248,2
31,427,2
31,155,2
31,355,4
31,470,2
31,313,1
31,44,1
31,321,4
31,246,3
31,415,1
31,236,2
31,353,1
31,64,1
31,2,1
31,15,1
31,244,1
31,455,3
31,307,3
31,90,2
31,324,1
31,348,1
31,84,1
31,109,1
31,158,4
31,185,1
31,477,1
31,83,1
31,79,5
31,344,2
31,437,2
31,295,2
31,294,1
31,238,6
31,145,1
31,440,2
31,487,1
31,234,1
31,108,4
31,261,3
31,360,1
31,370,2
31,485,1
31,6,5
31,446,2
31,407,1
31,372,1
31,103,1
31,148,3
31,466,1
31,228,1
31,5,4
31,110,1
31,91,1
31,293,1
31,121,1
31,250,2
31,71,2
31,20,1
31,21,1
31,367,1
31,208,1
31,259,1
31,369,1
31,462,1
31,99,3
31,14,1
31,319,2
31,49,1
31,472,2
31,347,3
31,126,2
31,98,1
31,176,1
31,395,3
31,262,1
31,499,1
31,213,4
31,329,2
31,223,3
31,492,1
31,117,1
31,301,1
31,343,2
31,154,1
31,22,1
31,460,2
31,152,1
31,131,2
31,260,1
31,297,1
31,235,1
31,137,2
31,327,1
31,421,3
31,438,2
31,56,2
31,100,4
31,114,1
31,380,2
31,384,1
31,463,5
31,202,3
31,409,3
31,311,1
31,476,1
31,379,1
31,338,2
31,144,1
31,471,1
31,448,2
31,94,3
31,284,1
31,29,4
31,4,1
31,222,1
31,189,3
31,335,1
31,179,5
31,194,1
31,8,4
31,136,1
31,174,2
31,184,8
31,419,1
31,87,1
31,143,1
31,356,3
31,305,1
31,119,2
31,289,3
31,433,3
31,306,1
31,195,3
31,312,1
31,386,2
31,322,1
31,465,1
31,200,3
31,480,1
31,375,1
31,168,2
31,133,2
31,456,1
31,130,3
31,254,2
31,93,3
31,497,2
31,387,1
31,275,1
31,382,1
31,452,1
31,388,1
31,428,4
31,193,4
31,190,1
31,400,1
31,445,1
31,52,1
31,350,4
31,316,2
31,396,3
31,13,2
31,408,2
31,163,2
31,299,1
31,215,1
31,160,3
31,157,1
31,423,1
31,214,2
31,219,1
31,237,2
31,125,1
31,300,5
31,315,1
31,439,1
31,72,1
31,26,1
31,187,2
31,274,7
31,139,2
31,32,1
31,389,1
31,366,1
31,146,2
31,403,1
31,483,3
31,365,1
31,27,1
31,226,3
31,330,5
31,65,1
31,449,1
31,36,2
31,451,2
31,201,5
31,220,1
31,314,1
31,124,1
31,243,2
31,282,3
31,309,3
31,292,4
31,225,1
31,272,2
31,140,3
31,60,3
31,298,1
31,25,2
31,120,2
31,77,2
31,183,1
31,182,2
31,48,2
31,3,1
31,172,1
31,393,1
31,40,2
31,12,2
31,239,1
31,19,2
31,102,1
31,399,1
31,24,1
31,10,1
31,457,2
31,429,7
31,205,1
31,217,4
31,249,2
31,227,1
31,231,1
31,76,2
31,444,2
31,75,1
31,156,1
31,323,4
31,218,1
31,268,3
31,35,1
31,199,1
31,308,1
31,422,1
31,454,1
31,164,1
31,416,2
31,430,1
31,247,2
31,340,3
31,376,3
31,198,1
31,474,2
31,494,2
31,142,1
31,320,1
31,192,1
31,410,2
31,328,3
31,170,4
31,147,2
31,66,1
31,1,5
31,414,2
31,304,1
31,279,3
31,80,1
31,412,1
31,206,3
31,118,3
31,283,1
31,270,3
31,404,1
31,191,2
31,442,1
31,302,6
31,39,4
31,166,1
31,363,4
31,42,4
31,488,1
31,62,5
31,51,6
31,37,1
31,111,1
31,362,1
31,230,1
31,207,1
31,175,1
31,212,6
31,224,2
31,38,3
31,122,6
31,92,1
31,478,2
31,459,1
31,150,2
31,364,1
31,210,1
31,411,1
31,420,2
31,467,5
31,68,1
31,296,2
31,252,2
31,434,1
31,486,4
31,169,1
31,288,1
31,406,1
31,484,2
31,281,1
31,177,1
31,413,3
31,358,1
31,285,1
31,435,5
31,55,2
31,204,1
31,381,1
31,188,2
31,469,2
31,70,3
31,173,2
31,240,3
31,339,1
31,105,1
31,16,2
31,493,1
31,443,4
31,153,2
31,255,1
31,256,3
31,418,2
31,290,2
31,390,2
31,453,2
31,141,4
31,258,4
31,402,1
31,286,3
31,186,4
31,241,2
31,337,2
31,58,2
31,245,1
31,401,1
31,479,3
31,67,2
31,332,1
31,318,1
31,368,1
31,341,4
31,107,2
31,82,2
31,461,1
31,267,3
31,280,4
31,377,3
31,113,1
31,57,3
31,378,1
31,53,1
31,128,1
31,276,1
31,495,1
31,162,2
31,373,1
31,181,3
31,257,1
31,269,9
