source,target,value
0,174,2
0,59,2
0,27,1
0,172,1
0,48,1
0,228,2
0,464,2
1,166,3
1,464,1
1,381,2
1,74,1
2,209,1
2,277,2
3,64,2
3,464,2
3,238,1
3,54,1
3,344,2
3,18,1
4,228,1
4,348,2
4,43,4
4,382,1
5,487,2
6,333,1
6,332,2
6,209,1
6,157,6
6,285,2
6,459,2
6,15,5
6,440,1
6,14,2
6,110,2
7,88,4
7,61,3
7,209,6
7,54,2
7,228,1
7,107,6
7,324,1
7,80,1
7,62,3
7,183,1
8,54,7
8,209,2
8,464,1
8,372,1
8,102,8
8,277,2
8,348,1
8,380,2
8,164,1
8,185,6
8,324,2
8,65,2
8,373,3
8,266,1
8,213,1
8,333,3
8,238,5
8,358,1
8,415,4
8,382,1
8,116,1
9,54,3
9,360,1
9,333,1
10,209,1
10,61,4
10,333,1
10,22,2
10,420,1
11,488,7
11,238,2
11,158,1
11,499,1
12,54,1
12,373,1
12,464,1
12,260,1
12,481,4
12,417,2
12,228,1
12,74,1
12,271,1
12,100,3
12,128,4
12,94,3
12,121,3
12,334,1
12,223,8
13,209,1
13,201,3
13,333,2
13,370,2
13,54,7
14,432,2
14,248,2
15,88,2
16,46,2
16,359,1
16,333,2
17,209,2
17,335,2
17,424,4
17,103,1
17,84,1
17,88,1
17,464,1
17,65,1
17,171,1
18,23,5
18,61,4
18,404,3
18,333,2
18,356,3
18,388,2
18,464,1
18,348,1
18,122,2
18,47,2
18,210,2
18,382,1
18,125,2
18,54,2
18,499,3
18,209,2
18,96,3
18,74,1
18,448,1
18,338,1
18,305,4
18,102,2
18,16,2
18,196,3
18,180,1
18,455,1
18,424,1
18,11,1
18,372,1
18,24,7
18,84,2
18,195,2
18,436,2
18,379,1
18,440,7
18,228,7
18,101,3
18,425,1
18,136,4
18,375,1
18,462,2
18,277,2
18,52,1
18,238,4
18,497,6
18,463,4
18,495,1
18,334,1
18,197,6
18,430,1
18,433,2
18,82,2
18,366,1
19,209,8
19,104,3
19,333,2
20,459,1
20,405,1
20,440,1
20,11,2
20,468,1
20,277,2
20,418,2
20,246,1
21,196,1
21,333,2
21,54,1
22,165,1
22,202,2
22,422,2
22,261,1
22,464,1
22,139,1
22,228,2
22,294,1
22,458,1
22,317,1
22,136,2
22,309,1
22,26,7
22,440,3
22,324,1
22,333,2
22,101,1
22,316,4
22,290,1
22,455,1
22,359,3
22,209,1
22,425,2
23,104,2
23,244,1
23,366,2
23,323,3
23,61,2
23,180,5
23,40,2
23,410,1
23,464,6
23,24,1
23,294,3
24,427,1
24,464,1
24,340,2
24,246,1
24,104,1
24,209,1
24,277,1
24,23,2
24,365,1
24,74,1
25,84,2
25,171,2
25,464,2
26,348,1
26,464,2
27,18,1
27,277,3
27,88,3
28,54,1
28,114,2
28,320,1
